Borough,Name,Location,CityMap Location,Materials Accepted:,Days ,Hours,Months of Operation,Requirements,Organizer,Composted By,Website
BK,Cortelyou Greenmarket,"Courtelyou Rd b/t Argyle &amp; Rugby Rd
Brooklyn, NY 11226&nbsp;&nbsp;
(40.64728000027196, -73.9573199999179)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993880,172748&c=GISBasic&s=i:CORTELYOU+ROAD,RUGBY+ROAD,BROOKLYN","food scraps, leaves, garden trimmings",Sundays,8 am – 1 pm,,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Fort Greene Greenmarket ,"Washington Park b/t Dekalb Ave &amp; Willoughby Ave
Brooklyn, NY 11201&nbsp;
(40.69373999970139, -73.99130999985647)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991703,190525&c=GISBasic&s=i:DEKALB+AVENUE,WASHINGTON+PARK,BROOKLYN",food scraps,Saturdays,8 am – 3 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Grand Army Plaza Greenmarket,"Prospect Park West &amp; Plaza St West
Brooklyn, NY 11238&nbsp;
(40.679380000286926, -73.9635700003551)","http://gis.nyc.gov/doitt/nycitymap/?z=7&p=991952,182827&c=GISBasic&s=i:PROSPECT+PARK+WEST,PLAZA+ST+WEST,BROOKLYN",food scraps,Saturdays,8 am – 3:30 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Red Hook Community Farm,"580 Columbia St b/t Halleck St &amp; Sigourney St
Brooklyn, NY 11231&nbsp;&nbsp;
(40.680220000352904, -74.0006699998205)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=981522,184276&c=GISBasic&s=a:580,COLUMBIA+STREET,BROOKLYN",food scraps,Saturdays,10 am to 3 pm ,(April - November) Check the calendar on home page for winter  “community composting” times.,bring compostables to \"compost row\"\" on the southwest edge of the farm and follow easy self-help composting instructions\",Red Hook Community Farm ,Red Hook Community Farm ,http://www.added-value.org/
BK,Sunset Park Greenmarket,"4th Avenue b/t 59th &amp; 60th Street
Brooklyn, NY 11220&nbsp;&nbsp;
(40.64135999976435, -74.01363999988592)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=979306,172969&c=GISBasic&s=i:4+AVENUE,59+STREET,BROOKLYN",food scraps,Saturdays,8 am – 1 pm,"(June 23-Nov 17, 2012)",check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
MN,82nd Street Greenmarket,"East 82nd St &amp; York Ave
New York, NY 10028&nbsp;&nbsp;
(40.77601999982329, -73.95274999961265)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997935,221182&c=GISBasic&s=l:MANHATTAN,1561,37,PLUTO",food scraps,Saturdays,9 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
MN,Columbia University Greenmarket,"Broadway b/t 114 &amp; 115 St
New York, NY 10025&nbsp;&nbsp;&nbsp;
(40.798120000038125, -73.96729000013323)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993981,233184&c=GISBasic&s=i:BROADWAY,WEST+114+STREET,MANHATTAN",food scraps,Sundays,8 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
MN,Inwood Greenmarket,"Isham St between Seaman Ave &amp; Cooper St
New York, NY 10034&nbsp;
(40.86663999963645, -73.92150000012475)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",food scraps,Saturdays,8 am – 12 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,New York Restoration Project ,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
MN,Lower East Side Ecology Center Community Garden,"North side of East 7th St between Ave B &amp; Ave C
New York, NY 10009&nbsp;
(40.72638999989874, -73.9809699996656)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",food scraps,Sundays,8 am – 5 pm,,households only; no businesses or other commercial generators may drop off organic waste,Lower East Side Ecology Center ,Lower East Side Ecology Center ,http://www.lesecologycenter.org/
MN,New Amsterdam Market ,"South Street b/t Beekman St. &amp; Peck Slip
New York, NY 10038&nbsp;&nbsp;
(40.70904999975784, -74.00542999989443)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=983762,196866&c=GISBasic&s=k:SOUTH+STREET,BEEKMAN+STREET,PECK+SLIP,MANHATTAN",food scraps,Sundays,8 am – 5 pm,Year Round,households only; no businesses or other commercial generators may drop off organic waste,NYC Compost Project Local Organics Recovery Program ,Earth Matter NY  through the NYC Compost Project Local Organics Recovery Program ,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
